ID,Fish,Spot,Na23 ppm,Mg24 ppm,Ni61 ppm,Cu63 ppm,Rb85 ppm,Sr88 ppm,Ba138 ppm
LAR01 - 1.d,LAR01,1,3118,51.92,1.49,0.113,0.273,2160,2.001
LAR01 - 2.d,LAR01,2,2073,26.93,1.18,0.057,0.086,2715,3.272
LAR01 - 3.d,LAR01,3,1822,23.48,1.18,0.059,0.152,2821,213.2
LAR01 - 4.d,LAR01,4,1526,16.77,1.22,0.063,0.156,2397,72.2
LAR02 - 1.d,LAR02,1,3405,51.17,1.43,0.147,0.699,2176,1.789
LAR02 - 2.d,LAR02,2,3373,35.48,1.05,0.126,1.144,2831,94.5
LAR02 - 3.d,LAR02,3,2235,28.77,1.01,0.094,0.65,2255,70.7
LAR03 - 1.d,LAR03,1,2287,31.31,0.88,0.133,0.19,2047,1.071
LAR03 - 2.d,LAR03,2,2316,24.45,1.02,0.099,0.317,2377,2.261
LAR03 - 3.d,LAR03,3,1874,15.8,0.9,0.077,0.356,2436,93.6
LAR04 - 1.d,LAR04,1,3436,47.35,1.54,1.224,0.53,2276,4.588
LAR04 - 2.d,LAR04,2,2454,24.43,1.49,0.104,0.434,2225,9.31
LAR04 - 3.d,LAR04,3,2397,25.32,1.42,0.189,0.431,2337,36.09
LAR04 - 4.d,LAR04,4,2192,26.36,1.7,0.122,0.398,2916,221.7
LAR04 - 5.d,LAR04,5,2274,26.04,1.79,0.2,0.443,3624,82.42
LAR04 - 6.d,LAR04,6,2282,23.91,1.65,0.196,0.554,2518,118.9
LAR04 - 7.d,LAR04,7,2015,18.88,1.42,0.091,0.552,2136,68.1
LAR05 - 1.d,LAR05,1,2247,32.03,0.98,0.117,0.402,2948,15.21
LAR05 - 2.d,LAR05,2,2474,24.22,1.21,0.076,0.891,3607,30.52
LAR05 - 3.d,LAR05,3,2588,22.17,0.82,0.087,1.465,3816,29.05
LAR05 - 4.d,LAR05,4,2599,19.03,0.78,0.094,2.131,2477,101.1
LAR05 - 5.d,LAR05,5,2452,15.73,0.94,0.077,2.176,1978,86.79
LAR06 - 1.d,LAR06,1,4182,68.5,1.19,0.635,0.822,1871,1.971
LAR06 - 2.d,LAR06,2,3043,30.63,0.9,0.278,0.586,2900,21.06
LAR06 - 3.d,LAR06,3,2305,17.37,1.02,0.116,0.557,2378,61.53
LAR07 - 1.d,LAR07,1,2645,40.87,1.17,0.234,0.269,2038,3.706
LAR07 - 2.d,LAR07,2,2088,20.4,1.42,0.064,0.324,706.7,34.38
LAR07 - 3.d,LAR07,3,1852,16.47,1.12,0.048,0.404,452.3,12.97
LAR07 - 4.d,LAR07,4,2084,19.65,0.88,0.086,0.66,480.5,14.29
LAR07 - 5.d,LAR07,5,2099,18.11,0.78,0.07,0.883,889,42.31
LAR07 - 6.d,LAR07,6,1998,14.95,1.01,0.076,0.668,2110,105.9
LAR08 - 1.d,LAR08,1,2388,36.81,1.08,0.345,0.0462,2251,3.414
