Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
1,core,Bb - 1.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),3093,50.00,0.169,0.674,1950,9.28
2,2,Bb - 2.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),2609,24.49,0.178,0.275,1876,1.96
3,3,Bb - 3.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),2815,35.45,0.189,0.353,2181,6.89
4,4,Bb - 4.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),2270,20.40,0.165,0.253,2079,2.98
5,5,Bb - 5.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),1783,12.36,0.188,0.173,2374,2.04
6,6,Bb - 6.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),1721,10.39,0.224,0.168,2983,2.83
7,7,Bb - 7.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),1649,10.95,0.178,0.203,3227,3.14
8,8,Bb - 8.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),1575,11.15,0.174,0.215,3411,3.20
9,margin,Bb - 9.d,LC 15-08-05_01,BA1,Kimberley,Bigge Island E (5/6),2243,13.93,0.186,0.229,2999,3.09
1,core,Dc - 1.d,LC 15-08-05_02,BA2,Kimberley,Bigge Island E (5/6),3186,44.64,0.159,0.938,1907,5.00
2,2,Dc - 2.d,LC 15-08-05_02,BA2,Kimberley,Bigge Island E (5/6),2883,40.81,0.171,0.317,1806,7.72
3,3,Dc - 3.d,LC 15-08-05_02,BA2,Kimberley,Bigge Island E (5/6),2888,41.90,0.157,0.304,1520,1.56
4,4,Dc - 4.d,LC 15-08-05_02,BA2,Kimberley,Bigge Island E (5/6),2507,31.15,0.160,0.209,1924,1.97
5,5,Dc - 5.d,LC 15-08-05_02,BA2,Kimberley,Bigge Island E (5/6),2150,18.41,0.163,0.239,2357,3.14
